date,vcr_forecast
2017-10-01,28.298916552966993
2017-10-02,17.4813830644737
2017-10-03,21.455338475486073
2017-10-04,22.68588297416094
2017-10-05,22.080134863788917
2017-10-06,24.601014302152002
2017-10-07,27.34777670994693
2017-10-08,28.590095508663058
2017-10-09,17.880180588098003
2017-10-10,21.24105481196168
2017-10-11,21.913781114904815
2017-10-12,23.411132895399625
2017-10-13,24.764122408375744
2017-10-14,28.174727147894615
2017-10-15,29.98670521635216
2017-10-16,19.0144274145615
2017-10-17,20.04069596328626
2017-10-18,21.715389383221257
2017-10-19,21.75710682253239
2017-10-20,24.867079181545847
2017-10-21,27.038218848958962
2017-10-22,27.980732947936836
2017-10-23,17.98115232868027
2017-10-24,20.90773838103994
2017-10-25,20.597683070210607
2017-10-26,21.39528472975477
2017-10-27,23.96077283672746
2017-10-28,25.445619453172537
2017-10-29,26.848209758490487
2017-10-30,17.693956576256053
2017-10-31,21.428003850196365
2017-11-01,22.475116301663203
2017-11-02,23.273219131375704
2017-11-03,26.12655700634729
2017-11-04,27.558066030443484
2017-11-05,27.708980088340162
2017-11-06,18.528811644888375
2017-11-07,21.285108469782664
2017-11-08,22.8002148141559
2017-11-09,23.64337284024162
2017-11-10,25.351989001304453
2017-11-11,27.953740630274886
2017-11-12,28.827727166006525
2017-11-13,19.937427774961584
2017-11-14,22.379307469291483
2017-11-15,23.697884230305398
2017-11-16,22.646681758551505
2017-11-17,27.077287266023934
2017-11-18,28.16611711957276
2017-11-19,28.259201790042603
2017-11-20,19.476479864176603
2017-11-21,22.270231179862982
2017-11-22,22.783896895641853
2017-11-23,23.44924368835866
2017-11-24,26.368809515948293
2017-11-25,26.827182410927104
2017-11-26,27.438412668747
2017-11-27,18.10407858479467
2017-11-28,20.60850705781788
2017-11-29,20.216656497587728
2017-11-30,19.456138240269464
2017-12-01,21.32031953241471
2017-12-02,21.650082898734304
2017-12-03,22.450337862564453
2017-12-04,13.828698595230058
2017-12-05,15.92850592236261
2017-12-06,17.389654607497306
2017-12-07,17.092475886923786
2017-12-08,18.66085024483842
2017-12-09,18.98325915210902
2017-12-10,21.392781110759234
2017-12-11,13.94772806509571
2017-12-12,15.441326749860755
2017-12-13,15.748145621654388
2017-12-14,14.992355355305591
2017-12-15,17.802105384106437
2017-12-16,18.454664256236644
2017-12-17,19.67065985387953
2017-12-18,11.539129864965354
2017-12-19,14.566782773851397
2017-12-20,16.268727245826554
2017-12-21,16.412650894783077
2017-12-22,18.632603568643596
2017-12-23,18.255708054904304
2017-12-24,21.444370059805173
2017-12-25,12.004397021888167
2017-12-26,14.467725463077919
2017-12-27,15.517599374615932
2017-12-28,15.812251774936179
2017-12-29,18.029573728672194
2017-12-30,17.89492663272825
2017-12-31,21.248444668764726
2017-10-01,72.85667857481162
2017-10-02,45.855226079794505
2017-10-03,54.25133801233738
2017-10-04,56.044287790911774
2017-10-05,57.4296096671859
2017-10-06,60.866970024397155
2017-10-07,64.26486579798011
2017-10-08,70.83655752581977
2017-10-09,45.753757080790734
2017-10-10,52.826786020414765
2017-10-11,54.78111740319743
2017-10-12,56.306274927562434
2017-10-13,61.775957508826025
2017-10-14,67.39256413758633
2017-10-15,73.19308186609238
2017-10-16,46.308670036857634
2017-10-17,55.79923453054723
2017-10-18,58.58195516458369
2017-10-19,58.965342180887056
2017-10-20,63.60530323764791
2017-10-21,65.598551854787
2017-10-22,70.92774711128435
2017-10-23,47.407553888836475
2017-10-24,56.78265328424165
2017-10-25,56.74694034472709
2017-10-26,59.76645601609359
2017-10-27,64.22673290273893
2017-10-28,67.01136681745872
2017-10-29,70.54459250658566
2017-10-30,48.158893569263036
2017-10-31,55.33555213913708
2017-11-01,58.26964894483164
2017-11-02,60.224246735821666
2017-11-03,63.46695006710924
2017-11-04,66.47948635970064
2017-11-05,70.96112026294001
2017-11-06,47.2265083066186
2017-11-07,55.847759041328636
2017-11-08,60.46269954108439
2017-11-09,61.26088805599635
2017-11-10,65.30185997878333
2017-11-11,68.15449135314014
2017-11-12,72.4819270057518
2017-11-13,51.61239796262006
2017-11-14,59.38369133595073
2017-11-15,61.261116873370675
2017-11-16,63.38645186424681
2017-11-17,65.90861948989159
2017-11-18,69.76246980649375
2017-11-19,73.62492857521495
2017-11-20,51.533329308024335
2017-11-21,57.14162600785569
2017-11-22,58.39201847857318
2017-11-23,60.30163423050006
2017-11-24,65.24523956320476
2017-11-25,65.44059220262665
2017-11-26,69.24526856874574
2017-11-27,50.20429793892325
2017-11-28,54.63593585005873
2017-11-29,53.38915841568806
2017-11-30,52.523953102952426
2017-12-01,52.61875876514141
2017-12-02,53.22396940446481
2017-12-03,57.814009225317086
2017-12-04,36.245324055113514
2017-12-05,44.90887182720331
2017-12-06,45.91348651634136
2017-12-07,47.27370728075377
2017-12-08,49.26461558614957
2017-12-09,52.08297215744138
2017-12-10,55.37869607088292
2017-12-11,36.293690666374
2017-12-12,43.0584889518242
2017-12-13,44.422411523130634
2017-12-14,45.647555076358216
2017-12-15,47.79146975168551
2017-12-16,50.518449607806375
2017-12-17,51.81959874117889
2017-12-18,33.674839677787645
2017-12-19,42.53165583121941
2017-12-20,42.17382535102418
2017-12-21,47.07993255570503
2017-12-22,48.05368203451434
2017-12-23,51.13459870340728
2017-12-24,54.6025979097729
2017-12-25,35.21869730691098
2017-12-26,43.281938858834934
2017-12-27,43.38706134137549
2017-12-28,45.445359454750324
2017-12-29,47.40760022408257
2017-12-30,48.28378232677832
2017-12-31,50.37123306282648
2017-10-01,47.35698524745996
2017-10-02,30.17175109932489
2017-10-03,34.864770560972076
2017-10-04,35.39320432288595
2017-10-05,36.54684060207131
2017-10-06,38.041138633972636
2017-10-07,41.24274857832281
2017-10-08,45.30304940627023
2017-10-09,29.895783513373857
2017-10-10,34.53906998027286
2017-10-11,33.923750669696204
2017-10-12,36.661112941549185
2017-10-13,40.254013139312065
2017-10-14,41.912555650873195
2017-10-15,44.49237896303216
2017-10-16,28.739296085141746
2017-10-17,32.896669171826716
2017-10-18,32.58779327347338
2017-10-19,34.99189067502288
2017-10-20,37.888470804093075
2017-10-21,40.63912158648866
2017-10-22,47.14182131218832
2017-10-23,29.90210460383475
2017-10-24,34.33662804918792
2017-10-25,34.9662769551211
2017-10-26,37.80004833049097
2017-10-27,41.326739687425345
2017-10-28,43.58647481424946
2017-10-29,48.619471505599336
2017-10-30,31.64435093886555
2017-10-31,35.799939619776744
2017-11-01,35.0284661691947
2017-11-02,37.491728103558984
2017-11-03,39.75827102721554
2017-11-04,43.74889621597809
2017-11-05,47.20165493697445
2017-11-06,31.379402381371207
2017-11-07,34.05625568924541
2017-11-08,35.19125760025439
2017-11-09,37.099565475960105
2017-11-10,41.18779489143458
2017-11-11,46.15055794414029
2017-11-12,49.11975502092566
2017-11-13,34.63614400731912
2017-11-14,39.03720478490416
2017-11-15,37.794992048855455
2017-11-16,38.46239223781683
2017-11-17,41.1968946100187
2017-11-18,43.043016287743036
2017-11-19,48.192986126237194
2017-11-20,34.38317100317235
2017-11-21,37.995136127899855
2017-11-22,36.04525667609417
2017-11-23,36.65518331294092
2017-11-24,40.34300196083213
2017-11-25,43.43512831941015
2017-11-26,46.62977886318028
2017-11-27,31.877245426407253
2017-11-28,34.45828110578919
2017-11-29,33.54478160928551
2017-11-30,32.71183716433006
2017-12-01,34.00198292248944
2017-12-02,35.42972973861697
2017-12-03,38.959340024642984
2017-12-04,24.387887467638166
2017-12-05,27.32580030530771
