date,LSTM_500_output_forecast
2017-10-01,19.159014
2017-10-02,19.159014
2017-10-03,19.159014
2017-10-04,19.159014
2017-10-05,19.159014
2017-10-06,19.159014
2017-10-07,19.159014
2017-10-08,19.159014
2017-10-09,19.159014
2017-10-10,19.159014
2017-10-11,19.159014
2017-10-12,19.159014
2017-10-13,19.159014
2017-10-14,19.159014
2017-10-15,19.159014
2017-10-16,19.159014
2017-10-17,19.159014
2017-10-18,19.159014
2017-10-19,19.159014
2017-10-20,19.159014
2017-10-21,19.159014
2017-10-22,19.159014
2017-10-23,19.159014
2017-10-24,19.159014
2017-10-25,19.159014
2017-10-26,19.159014
2017-10-27,19.159014
2017-10-28,19.159014
2017-10-29,19.159014
2017-10-30,19.159014
2017-10-31,19.159025
2017-11-01,19.159025
2017-11-02,19.159014
2017-11-03,19.159014
2017-11-04,19.159014
2017-11-05,19.159014
2017-11-06,19.159014
2017-11-07,19.159014
2017-11-08,19.159014
2017-11-09,19.159014
2017-11-10,19.159014
2017-11-11,19.159014
2017-11-12,19.159014
2017-11-13,19.159014
2017-11-14,19.159014
2017-11-15,19.159014
2017-11-16,19.159014
2017-11-17,19.159014
2017-11-18,19.159014
2017-11-19,19.159014
2017-11-20,19.159014
2017-11-21,19.159014
2017-11-22,19.159014
2017-11-23,19.159014
2017-11-24,19.159014
2017-11-25,19.159014
2017-11-26,19.159014
2017-11-27,19.159014
2017-11-28,19.159014
2017-11-29,19.159014
2017-11-30,19.159014
2017-12-01,19.159014
2017-12-02,19.159025
2017-12-03,19.159025
2017-12-04,19.159014
2017-12-05,19.159014
2017-12-06,19.159014
2017-12-07,19.159014
2017-12-08,19.159014
2017-12-09,19.159014
2017-12-10,19.159014
2017-12-11,19.159014
2017-12-12,19.159014
2017-12-13,19.159014
2017-12-14,19.159014
2017-12-15,19.159014
2017-12-16,19.159014
2017-12-17,19.159014
2017-12-18,19.159014
2017-12-19,19.159014
2017-12-20,19.159014
2017-12-21,19.159014
2017-12-22,19.159014
2017-12-23,19.159014
2017-12-24,19.159014
2017-12-25,19.159014
2017-12-26,19.159014
2017-12-27,19.159014
2017-12-28,19.159014
2017-12-29,19.159014
2017-12-30,19.159014
2017-12-31,19.159014
2017-10-01,52.580864
2017-10-02,52.580864
2017-10-03,52.580864
2017-10-04,52.580864
2017-10-05,52.580864
2017-10-06,52.580864
2017-10-07,52.580864
2017-10-08,52.580864
2017-10-09,52.580864
2017-10-10,52.580864
2017-10-11,52.580864
2017-10-12,52.580864
2017-10-13,52.580864
2017-10-14,52.580864
2017-10-15,52.580864
2017-10-16,52.580864
2017-10-17,52.580864
2017-10-18,52.580864
2017-10-19,52.580864
2017-10-20,52.580864
2017-10-21,52.580864
2017-10-22,52.580864
2017-10-23,52.580864
2017-10-24,52.580864
2017-10-25,52.580864
2017-10-26,52.580864
2017-10-27,52.580864
2017-10-28,52.580864
2017-10-29,52.580864
2017-10-30,52.580864
2017-10-31,52.580864
2017-11-01,52.580864
2017-11-02,52.580864
2017-11-03,52.580864
2017-11-04,52.580864
2017-11-05,52.580864
2017-11-06,52.580864
2017-11-07,52.580864
2017-11-08,52.580864
2017-11-09,52.580864
2017-11-10,52.580864
2017-11-11,52.580864
2017-11-12,52.580864
2017-11-13,52.580864
2017-11-14,52.580864
2017-11-15,52.580864
2017-11-16,52.580864
2017-11-17,52.580864
2017-11-18,52.580864
2017-11-19,52.580864
2017-11-20,52.580864
2017-11-21,52.580864
2017-11-22,52.580864
2017-11-23,52.580864
2017-11-24,52.580864
2017-11-25,52.580864
2017-11-26,52.580864
2017-11-27,52.580864
2017-11-28,52.580864
2017-11-29,52.580864
2017-11-30,52.580864
2017-12-01,52.580864
2017-12-02,52.580864
2017-12-03,52.580864
2017-12-04,52.580864
2017-12-05,52.580864
2017-12-06,52.580864
2017-12-07,52.580864
2017-12-08,52.580864
2017-12-09,52.580864
2017-12-10,52.580864
2017-12-11,52.580864
2017-12-12,52.580864
2017-12-13,52.580864
2017-12-14,52.580864
2017-12-15,52.580864
2017-12-16,52.580864
2017-12-17,52.580864
2017-12-18,52.580864
2017-12-19,52.580864
2017-12-20,52.580864
2017-12-21,52.580864
2017-12-22,52.580864
2017-12-23,52.580864
2017-12-24,52.580864
2017-12-25,52.580864
2017-12-26,52.580864
2017-12-27,52.580864
2017-12-28,52.580864
2017-12-29,52.580864
2017-12-30,52.580864
2017-12-31,52.580864
2017-10-01,35.3575
2017-10-02,35.3575
2017-10-03,35.3575
2017-10-04,35.3575
2017-10-05,35.3575
2017-10-06,35.3575
2017-10-07,35.3575
2017-10-08,35.3575
2017-10-09,35.3575
2017-10-10,35.3575
2017-10-11,35.3575
2017-10-12,35.3575
2017-10-13,35.3575
2017-10-14,35.3575
2017-10-15,35.3575
2017-10-16,35.3575
2017-10-17,35.3575
2017-10-18,35.3575
2017-10-19,35.3575
2017-10-20,35.3575
2017-10-21,35.3575
2017-10-22,35.3575
2017-10-23,35.3575
2017-10-24,35.3575
2017-10-25,35.3575
2017-10-26,35.3575
2017-10-27,35.3575
2017-10-28,35.3575
2017-10-29,35.3575
2017-10-30,35.3575
2017-10-31,35.357502
2017-11-01,35.357502
2017-11-02,35.3575
2017-11-03,35.3575
2017-11-04,35.3575
2017-11-05,35.3575
2017-11-06,35.3575
2017-11-07,35.3575
2017-11-08,35.3575
2017-11-09,35.3575
2017-11-10,35.3575
2017-11-11,35.3575
2017-11-12,35.3575
2017-11-13,35.3575
2017-11-14,35.3575
2017-11-15,35.3575
2017-11-16,35.3575
2017-11-17,35.3575
2017-11-18,35.3575
2017-11-19,35.3575
2017-11-20,35.3575
2017-11-21,35.3575
2017-11-22,35.3575
2017-11-23,35.3575
2017-11-24,35.3575
2017-11-25,35.3575
2017-11-26,35.3575
2017-11-27,35.3575
2017-11-28,35.3575
2017-11-29,35.3575
2017-11-30,35.3575
2017-12-01,35.3575
2017-12-02,35.357502
2017-12-03,35.357502
2017-12-04,35.3575
2017-12-05,35.3575
2017-12-06,35.3575
2017-12-07,35.3575
2017-12-08,35.3575
2017-12-09,35.3575
2017-12-10,35.3575
2017-12-11,35.3575
2017-12-12,35.3575
2017-12-13,35.3575
2017-12-14,35.3575
2017-12-15,35.3575
2017-12-16,35.3575
2017-12-17,35.3575
2017-12-18,35.3575
2017-12-19,35.3575
2017-12-20,35.3575
2017-12-21,35.3575
2017-12-22,35.3575
2017-12-23,35.3575
2017-12-24,35.3575
2017-12-25,35.3575
2017-12-26,35.3575
2017-12-27,35.3575
2017-12-28,35.3575
2017-12-29,35.3575
2017-12-30,35.3575
2017-12-31,35.3575
2017-10-01,22.567305
2017-10-02,22.567305
2017-10-03,22.567305
2017-10-04,22.567305
2017-10-05,22.567305
2017-10-06,22.567305
2017-10-07,22.567305
2017-10-08,22.567305
2017-10-09,22.567305
2017-10-10,22.567305
2017-10-11,22.567305
2017-10-12,22.567305
2017-10-13,22.567305
2017-10-14,22.567305
2017-10-15,22.567305
2017-10-16,22.567305
2017-10-17,22.567305
2017-10-18,22.567305
2017-10-19,22.567305
2017-10-20,22.567305
2017-10-21,22.567305
2017-10-22,22.567305
2017-10-23,22.567305
2017-10-24,22.567305
2017-10-25,22.567305
2017-10-26,22.567305
2017-10-27,22.567305
2017-10-28,22.567305
2017-10-29,22.567305
2017-10-30,22.567305
2017-10-31,22.56731
2017-11-01,22.56731
2017-11-02,22.567305
2017-11-03,22.567305
2017-11-04,22.567305
2017-11-05,22.567305
2017-11-06,22.567305
2017-11-07,22.567305
2017-11-08,22.567305
2017-11-09,22.567305
2017-11-10,22.567305
2017-11-11,22.567305
2017-11-12,22.567305
2017-11-13,22.567305
2017-11-14,22.567305
2017-11-15,22.567305
2017-11-16,22.567305
2017-11-17,22.567305
2017-11-18,22.567305
2017-11-19,22.567305
2017-11-20,22.567305
2017-11-21,22.567305
2017-11-22,22.567305
2017-11-23,22.567305
2017-11-24,22.567305
2017-11-25,22.567305
2017-11-26,22.567305
2017-11-27,22.567305
2017-11-28,22.567305
2017-11-29,22.567305
2017-11-30,22.567305
2017-12-01,22.567305
2017-12-02,22.56731
2017-12-03,22.56731
2017-12-04,22.567305
2017-12-05,22.567305
2017-12-06,22.567305
2017-12-07,22.567305
2017-12-08,22.567305
2017-12-09,22.567305
2017-12-10,22.567305
2017-12-11,22.567305
2017-12-12,22.567305
2017-12-13,22.567305
2017-12-14,22.567305
2017-12-15,22.567305
2017-12-16,22.567305
2017-12-17,22.567305
2017-12-18,22.567305
2017-12-19,22.567305
2017-12-20,22.567305
2017-12-21,22.567305
2017-12-22,22.567305
2017-12-23,22.567305
2017-12-24,22.567305
2017-12-25,22.567305
2017-12-26,22.567305
2017-12-27,22.567305
2017-12-28,22.567305
2017-12-29,22.567305
2017-12-30,22.567305
2017-12-31,22.567305
2017-10-01,16.82295
2017-10-02,16.82295
2017-10-03,16.82295
2017-10-04,16.82295
2017-10-05,16.82295
2017-10-06,16.82295
2017-10-07,16.82295
2017-10-08,16.82295
2017-10-09,16.82295
2017-10-10,16.82295
2017-10-11,16.82295
2017-10-12,16.82295
2017-10-13,16.82295
2017-10-14,16.82295
2017-10-15,16.82295
2017-10-16,16.82295
2017-10-17,16.82295
2017-10-18,16.82295
