date,LSTM_10_output_forecast
2017-10-01,21.983829999999998
2017-10-02,21.253641000000002
2017-10-03,19.590227
2017-10-04,20.462664
2017-10-05,20.195715
2017-10-06,19.803234
2017-10-07,19.824488
2017-10-08,21.55861
2017-10-09,21.363525
2017-10-10,18.029235999999997
2017-10-11,18.994637
2017-10-12,20.650194
2017-10-13,19.98963
2017-10-14,19.932789
2017-10-15,21.596142
2017-10-16,21.054920000000003
2017-10-17,19.118263
2017-10-18,19.892338
2017-10-19,19.704683
2017-10-20,19.32315
2017-10-21,20.585642
2017-10-22,21.355112
2017-10-23,20.837951999999998
2017-10-24,19.832527
2017-10-25,19.589191
2017-10-26,20.507107
2017-10-27,19.717863
2017-10-28,20.879220999999998
2017-10-29,21.350769
2017-10-30,22.054502
2017-10-31,18.968636
2017-11-01,20.071711999999998
2017-11-02,20.92863
2017-11-03,20.7352
2017-11-04,21.991486
2017-11-05,21.388673999999998
2017-11-06,21.622265
2017-11-07,20.918737
2017-11-08,19.899942000000003
2017-11-09,20.665407000000002
2017-11-10,20.29247
2017-11-11,20.529606
2017-11-12,21.134792
2017-11-13,22.031064999999998
2017-11-14,19.954014
2017-11-15,20.626982
2017-11-16,20.409275
2017-11-17,21.159225
2017-11-18,21.542135000000002
2017-11-19,21.677726999999997
2017-11-20,21.254091
2017-11-21,18.745825
2017-11-22,20.499666
2017-11-23,20.140985
2017-11-24,21.30855
2017-11-25,21.857021
2017-11-26,21.557164999999998
2017-11-27,22.444195
2017-11-28,20.23933
2017-11-29,20.72578
2017-11-30,21.134384
2017-12-01,21.674868
2017-12-02,20.357886999999998
2017-12-03,19.852303
2017-12-04,20.105587
2017-12-05,17.395428
2017-12-06,16.344234
2017-12-07,18.263776999999997
2017-12-08,19.244844
2017-12-09,19.956509
2017-12-10,18.544872
2017-12-11,19.781492
2017-12-12,17.516665
2017-12-13,17.65476
2017-12-14,18.100746
2017-12-15,17.823744
2017-12-16,18.145739000000003
2017-12-17,19.258657
2017-12-18,18.758802
2017-12-19,16.293873
2017-12-20,17.614344
2017-12-21,17.126858
2017-12-22,19.093971
2017-12-23,18.155779000000003
2017-12-24,19.779413
2017-12-25,18.530835999999997
2017-12-26,16.245205
2017-12-27,17.308636
2017-12-28,18.027035
2017-12-29,18.750896
2017-12-30,19.523433999999998
2017-12-31,20.325064
2017-10-01,58.788387
2017-10-02,57.089146
2017-10-03,52.76456999999999
2017-10-04,54.664623
2017-10-05,54.433098
2017-10-06,53.283478
2017-10-07,53.003517
2017-10-08,57.767906
2017-10-09,57.208890000000004
2017-10-10,49.052203999999996
2017-10-11,51.225190000000005
2017-10-12,55.497948
2017-10-13,54.00736
2017-10-14,53.800343000000005
2017-10-15,57.480637
2017-10-16,56.310590000000005
2017-10-17,52.20075
2017-10-18,54.116203000000006
2017-10-19,52.673480000000005
2017-10-20,52.494167000000004
2017-10-21,55.029274
2017-10-22,57.05443199999999
2017-10-23,56.238926
2017-10-24,53.612072
2017-10-25,52.921859999999995
2017-10-26,54.826015000000005
2017-10-27,53.32199
2017-10-28,56.113673999999996
2017-10-29,57.447019999999995
2017-10-30,58.6407
2017-10-31,51.214962
2017-11-01,53.691635
2017-11-02,55.627219999999994
2017-11-03,55.613567
2017-11-04,58.254887
2017-11-05,57.114506000000006
2017-11-06,57.74649399999999
2017-11-07,55.61035
2017-11-08,53.97215
2017-11-09,55.395576
2017-11-10,53.989677
2017-11-11,55.104169999999996
2017-11-12,56.314735
2017-11-13,58.575912
2017-11-14,54.08791
2017-11-15,55.20454
2017-11-16,54.89374
2017-11-17,56.638040000000004
2017-11-18,57.489006
2017-11-19,57.85994
2017-11-20,57.041945999999996
2017-11-21,50.352406
2017-11-22,55.246590000000005
2017-11-23,54.585075
2017-11-24,56.996414
2017-11-25,58.2794
2017-11-26,57.826958
2017-11-27,59.751385
2017-11-28,54.58955400000001
2017-11-29,55.387623
2017-11-30,56.343613
2017-12-01,57.617504000000004
2017-12-02,54.81374
2017-12-03,53.084362
2017-12-04,53.80249
2017-12-05,47.47965
2017-12-06,44.891888
2017-12-07,49.36345
2017-12-08,51.853553999999995
2017-12-09,53.518414
2017-12-10,50.681664000000005
2017-12-11,52.91291
2017-12-12,47.99706
2017-12-13,48.099990000000005
2017-12-14,48.753555
2017-12-15,48.856559999999995
2017-12-16,48.894577000000005
2017-12-17,51.860085
2017-12-18,50.494564000000004
2017-12-19,44.754242
2017-12-20,47.726906
2017-12-21,46.91462
2017-12-22,51.930737
2017-12-23,49.361988000000004
