date,VAR_forecast
2017-10-01,28.298916552967025
2017-10-02,17.481383064473754
2017-10-03,21.455338475486094
2017-10-04,22.685882974160968
2017-10-05,22.080134863788928
2017-10-06,24.601014302152016
2017-10-07,27.347776709946984
2017-10-08,28.590095508663136
2017-10-09,17.88018058809806
2017-10-10,21.24105481196172
2017-10-11,21.91378111490485
2017-10-12,23.411132895399668
2017-10-13,24.764122408375783
2017-10-14,28.174727147894675
2017-10-15,29.986705216352238
2017-10-16,19.014427414561577
2017-10-17,20.040695963286318
2017-10-18,21.715389383221325
2017-10-19,21.75710682253246
2017-10-20,24.86707918154589
2017-10-21,27.038218848959048
2017-10-22,27.98073294793693
2017-10-23,17.981152328680373
2017-10-24,20.907738381040033
2017-10-25,20.597683070210714
2017-10-26,21.39528472975489
2017-10-27,23.9607728367276
2017-10-28,25.44561945317272
2017-10-29,26.84820975849071
2017-10-30,17.693956576256305
2017-10-31,21.428003850196603
2017-11-01,22.475116301663448
2017-11-02,23.27321913137593
2017-11-03,26.12655700634751
2017-11-04,27.558066030443722
2017-11-05,27.708980088340397
2017-11-06,18.528811644888577
2017-11-07,21.285108469782827
2017-11-08,22.800214814156043
2017-11-09,23.643372840241746
2017-11-10,25.351989001304567
2017-11-11,27.95374063027502
2017-11-12,28.827727166006692
2017-11-13,19.937427774961748
2017-11-14,22.379307469291607
2017-11-15,23.6978842303055
2017-11-16,22.646681758551615
2017-11-17,27.077287266024044
2017-11-18,28.16611711957288
2017-11-19,28.259201790042738
2017-11-20,19.476479864176728
2017-11-21,22.270231179863067
2017-11-22,22.783896895641924
2017-11-23,23.449243688358735
2017-11-24,26.36880951594838
2017-11-25,26.827182410927207
2017-11-26,27.438412668747123
2017-11-27,18.104078584794788
2017-11-28,20.60850705781795
2017-11-29,20.21665649758777
2017-11-30,19.456138240269482
2017-12-01,21.32031953241466
2017-12-02,21.650082898734297
2017-12-03,22.45033786256446
2017-12-04,13.82869859523008
2017-12-05,15.92850592236263
2017-12-06,17.389654607497313
2017-12-07,17.092475886923786
2017-12-08,18.660850244838407
2017-12-09,18.98325915210904
2017-12-10,21.392781110759252
2017-12-11,13.947728065095735
2017-12-12,15.44132674986073
2017-12-13,15.748145621654336
2017-12-14,14.99235535530554
2017-12-15,17.80210538410636
2017-12-16,18.45466425623659
2017-12-17,19.67065985387949
2017-12-18,11.539129864965297
2017-12-19,14.566782773851319
2017-12-20,16.268727245826472
2017-12-21,16.412650894783
2017-12-22,18.632603568643507
2017-12-23,18.25570805490424
2017-12-24,21.444370059805124
2017-12-25,12.00439702188812
2017-12-26,14.467725463077848
2017-12-27,15.517599374615823
2017-12-28,15.812251774936076
2017-12-29,18.029573728672077
2017-12-30,17.894926632728133
2017-12-31,21.24844466876457
2017-10-01,72.85667857481117
2017-10-02,45.85522607979425
2017-10-03,54.25133801233695
2017-10-04,56.04428779091137
2017-10-05,57.429609667185545
2017-10-06,60.86697002439683
2017-10-07,64.26486579797974
2017-10-08,70.83655752581932
2017-10-09,45.75375708079032
2017-10-10,52.8267860204143
2017-10-11,54.781117403196994
2017-10-12,56.306274927562015
2017-10-13,61.7759575088256
2017-10-14,67.39256413758591
2017-10-15,73.19308186609187
2017-10-16,46.30867003685717
2017-10-17,55.799234530546684
2017-10-18,58.58195516458314
2017-10-19,58.965342180886566
2017-10-20,63.605303237647384
2017-10-21,65.59855185478644
2017-10-22,70.9277471112837
2017-10-23,47.407553888835906
2017-10-24,56.782653284241036
2017-10-25,56.746940344726504
2017-10-26,59.766456016093066
2017-10-27,64.2267329027384
2017-10-28,67.01136681745821
2017-10-29,70.54459250658508
2017-10-30,48.158893569262595
2017-10-31,55.335552139136524
2017-11-01,58.26964894483116
2017-11-02,60.22424673582125
2017-11-03,63.46695006710884
2017-11-04,66.47948635970019
2017-11-05,70.96112026293952
2017-11-06,47.22650830661819
2017-11-07,55.84775904132816
2017-11-08,60.46269954108398
2017-11-09,61.26088805599602
2017-11-10,65.30185997878303
2017-11-11,68.1544913531398
2017-11-12,72.48192700575139
2017-11-13,51.61239796261978
2017-11-14,59.383691335950346
2017-11-15,61.26111687337033
2017-11-16,63.38645186424654
2017-11-17,65.90861948989131
2017-11-18,69.76246980649347
